Time (s),Acceleration (m/s²)
1.719030784E1,1.141719818E-1
1.723030295E1,7.599258423E-2
1.727029808E1,-1.060028076E-1
1.731029314E1,1.119251251E-1
1.735028841E1,-1.750411987E-1
1.739028374E1,4.687309265E-2
1.743027914E1,-1.252212524E-1
1.747027454E1,5.187034607E-2
1.751026981E1,5.880451202E-2
1.755026508E1,2.088928223E-2
1.759026034E1,-2.064924240E-1
1.763025567E1,1.068191528E-1
1.767025094E1,-1.634063721E-1
1.771024627E1,-1.610574722E-1
1.775024154E1,2.069282532E-2
1.779023684E1,-9.890556335E-2
1.783023214E1,-2.710628510E-2
1.787022747E1,1.834106445E-2
1.791022280E1,-1.727676392E-2
1.795021807E1,4.484844208E-2
1.799021340E1,-8.700275421E-2
1.803020870E1,-1.275720596E-1
1.807020397E1,-1.042842865E-2
1.811019924E1,7.823085785E-2
1.815019450E1,-7.238864899E-2
1.819018977E1,-5.328083038E-2
1.823018507E1,1.238212585E-1
1.827018043E1,-8.210945129E-2
1.831017570E1,-1.506328583E-2
1.835017103E1,1.153087616E-2
1.839016630E1,-1.394948959E-1
1.843016163E1,2.329635620E-2
1.847015703E1,-5.090618134E-2
1.851015240E1,8.814525604E-2
1.855014766E1,-1.392841339E-1
1.859014280E1,-4.827022552E-2
1.863013793E1,3.986644745E-2
1.867013300E1,3.263759613E-2
1.871012813E1,-4.848003387E-2
1.875012320E1,-8.434581757E-2
1.879011826E1,2.569103241E-2
1.883011333E1,-6.304359436E-2
1.887010843E1,1.104450226E-2
1.891010353E1,-3.924179077E-2
1.895009863E1,9.975051880E-2
1.899009376E1,-1.011781693E-1
1.903008883E1,-1.323595047E-1
1.907008389E1,-5.510330200E-3
1.911007896E1,-2.465820312E-2
1.915007402E1,-5.577468872E-2
1.919006909E1,3.043746948E-2
1.923006416E1,2.806186676E-2
1.927005932E1,-5.566501617E-2
1.931005442E1,-1.801071167E-1
1.935004959E1,-7.745742798E-3
1.939004469E1,-1.978492737E-2
1.943003972E1,-2.472496033E-2
1.947003482E1,-6.070518494E-2
1.951003012E1,7.106685638E-2
1.955002549E1,-6.282806396E-2
1.959002092E1,-3.170204163E-2
1.963001632E1,-8.210372925E-2
1.967001162E1,7.107639313E-2
1.971000702E1,-6.052112579E-2
1.975000232E1,-5.097103119E-2
1.978999762E1,-2.467060089E-2
1.982999292E1,8.863449097E-3
1.986998822E1,-1.083765030E-1
1.990998355E1,-7.716560364E-2
1.994997889E1,-6.526756287E-2
1.998997429E1,-3.182506561E-2
2.002996962E1,-9.895133972E-2
2.006996492E1,3.756237030E-2
2.010996022E1,-1.494503021E-2
2.014995552E1,-8.181095123E-2
2.018995082E1,-7.954311371E-2
2.022994612E1,9.752941132E-2
2.026994148E1,1.132678986E-2
2.030993682E1,-7.488250732E-2
2.034993222E1,-5.098152161E-2
2.038992755E1,6.150245667E-2
2.042992288E1,3.044509888E-2
2.046991818E1,-7.727622986E-2
2.050991348E1,6.886196136E-2
2.054990878E1,2.566719055E-2
2.058990428E1,-4.138278961E-2
2.062989995E1,-5.339050293E-2
2.066989555E1,4.007625580E-2
2.070989102E1,8.812046051E-2
2.074988635E1,-1.680841446E-1
2.078988158E1,4.009723663E-2
2.082987688E1,-3.897953033E-2
2.086987215E1,1.846027374E-2
2.090986741E1,-1.156644821E-1
2.094986268E1,-3.666877747E-2
2.098985801E1,6.152915955E-2
2.102985331E1,-1.011419296E-1
2.106984861E1,-1.179218292E-1
2.110984388E1,9.027290344E-2
2.114983914E1,8.062744141E-2
2.118983441E1,-1.109962463E-1
2.122982968E1,-2.949714661E-2
2.126982501E1,7.601737976E-2
2.130982028E1,-3.640842438E-2
2.134981558E1,-1.179580688E-1
2.138981084E1,4.475402832E-2
2.142980614E1,-1.039409637E-2
2.146980144E1,-5.591678619E-2
2.150979671E1,-3.911304474E-2
2.154979197E1,6.385040283E-2
2.158978724E1,3.033542633E-2
2.162978257E1,-1.588029861E-1
2.166977791E1,-2.468681335E-2
2.170977337E1,1.022367477E-1
2.174976877E1,-7.013797760E-2
2.178976397E1,-6.304550171E-2
2.182975910E1,4.718971252E-2
2.186975417E1,6.893157959E-2
2.190974924E1,-7.235050201E-2
2.194974430E1,-5.096626282E-2
2.198973947E1,-7.501792908E-2
2.202973454E1,-2.487182617E-2
2.206972964E1,-6.330013275E-2
2.210972474E1,-5.620002747E-3
2.214971984E1,-3.863143921E-2
2.218971494E1,-1.702432632E-1
2.222970997E1,1.854896545E-3
2.226970510E1,-1.758003235E-2
2.230970017E1,2.541828156E-2
2.234969530E1,1.572608948E-2
2.238969037E1,-2.479362488E-2
2.242968543E1,-6.027221680E-4
2.246968053E1,-3.892612457E-2
2.250967563E1,-6.056594849E-2
2.254967077E1,8.074760437E-2
2.258966586E1,1.762390137E-3
2.262966100E1,-1.228141785E-1
2.266965606E1,4.032135010E-3
2.270965123E1,1.609134674E-2
2.274964653E1,-1.494789124E-2
2.278964193E1,-5.352020264E-3
2.282963733E1,5.447864532E-2
2.286963266E1,2.560997009E-2
2.290962793E1,-4.154491425E-2
2.294962320E1,-8.939743042E-2
2.298961853E1,7.835388184E-2
2.302961376E1,-5.238533020E-3
2.306960909E1,-6.763458252E-2
2.310960436E1,-2.702140808E-2
2.314959963E1,6.391620636E-2
2.318959489E1,-6.059551239E-2
2.322959019E1,-1.986122131E-2
2.326958552E1,-2.946472168E-2
2.330958079E1,3.278541565E-2
2.334957612E1,-1.084976196E-1
2.338957139E1,-5.340576172E-2
2.342956669E1,1.190214157E-1
2.346956196E1,7.343959808E-2
2.350955722E1,7.341766357E-2
2.354955249E1,-4.142284393E-2
2.358954779E1,-1.034870148E-1
2.362954315E1,-1.537971497E-1
2.366953842E1,-2.449798584E-1
2.370953375E1,-3.143920898E-1
2.374952902E1,-1.875391006E-1
2.378952432E1,-2.688884735E-1
2.382951972E1,-4.219589233E-1
2.386951512E1,-3.166418076E-1
2.390951049E1,-3.311576843E-1
2.394950565E1,-3.311128616E-1
2.398950078E1,-4.173231125E-1
2.402949585E1,-3.837881088E-1
2.406949098E1,-4.820604324E-1
2.410948605E1,-4.773292542E-1
2.414948112E1,-4.124717712E-1
2.418947618E1,-4.601993561E-1
2.422947131E1,-4.602766037E-1
2.426946641E1,-5.105991364E-1
2.430946151E1,-5.634174347E-1
2.434945668E1,-6.112899780E-1
2.438945178E1,-6.735429764E-1
2.442944685E1,-6.185207367E-1
2.446944188E1,-7.478656769E-1
2.450943694E1,-7.333879471E-1
2.454943201E1,-7.716197968E-1
2.458942708E1,-7.955493927E-1
2.462942221E1,-8.842191696E-1
2.466941731E1,-8.601503372E-1
2.470941248E1,-8.793706894E-1
2.474940758E1,-8.315095901E-1
2.478940264E1,-8.841829300E-1
2.482939771E1,-9.130373001E-1
2.486939297E1,-9.130048752E-1
2.490938827E1,-8.746118546E-1
2.494938371E1,-8.553066254E-1
2.498937917E1,-9.128494263E-1
2.502937444E1,-8.434782028E-1
2.506936980E1,-8.794012070E-1
2.510936511E1,-8.744859695E-1
2.514936041E1,-8.481349945E-1
2.518935570E1,-8.075332642E-1
2.522935100E1,-7.548980713E-1
2.526934631E1,-8.242807388E-1
2.530934164E1,-7.644090652E-1
2.534933704E1,-7.237691879E-1
2.538933237E1,-6.783895493E-1
2.542932767E1,-6.017045975E-1
2.546932297E1,-5.920171738E-1
2.550931827E1,-5.561580658E-1
2.554931357E1,-4.533472061E-1
2.558930887E1,-4.294013977E-1
2.562930424E1,-3.742437363E-1
2.566929957E1,-2.544422150E-1
2.570929497E1,-2.928075790E-1
2.574929030E1,-2.809009552E-1
2.578928564E1,-2.497558594E-1
2.582928097E1,-2.281780243E-1
2.586927627E1,-1.683397293E-1
2.590927157E1,-1.707601547E-1
2.594926700E1,-1.755704880E-1
2.598926260E1,-1.539506912E-1
2.602925824E1,-4.617786407E-2
2.606925374E1,-4.857730865E-2
2.610924914E1,-6.535243988E-2
2.614924440E1,-1.025867462E-2
2.618923967E1,5.440044403E-2
2.622923497E1,-1.746273041E-2
2.626923023E1,1.124668121E-2
2.630922550E1,4.717636108E-2
2.634922083E1,5.436515808E-2
2.638921610E1,-3.089904785E-3
2.642921140E1,3.999423981E-2
2.646920670E1,1.844120026E-2
2.650920196E1,-3.082275391E-3
2.654919723E1,-1.743984222E-2
2.658919250E1,1.608371735E-2
2.662918783E1,1.126194000E-2
2.666918310E1,-6.534957886E-2
2.670917843E1,2.084636688E-2
2.674917366E1,-1.267623901E-2
2.678916896E1,-6.056022644E-2
2.682916426E1,1.366519928E-2
2.686915956E1,-3.092765808E-3
2.690915479E1,-7.885932922E-3
2.694915006E1,2.564430237E-2
2.698914546E1,3.044605255E-2
2.702914076E1,-1.024627686E-2
2.706913623E1,-6.656646729E-4
2.710913163E1,2.328395844E-2
2.714912689E1,-6.647109985E-4
2.718912206E1,-2.459430695E-2
2.722911712E1,-1.501178741E-2
2.726911216E1,-6.780624390E-4
2.730910722E1,-2.701282501E-2
2.734910236E1,3.044795990E-2
2.738909742E1,3.285408020E-2
2.742909252E1,-1.263332367E-2
2.746908762E1,-1.503181458E-2
2.750908272E1,2.088165283E-2
2.754907782E1,-2.700996399E-2
2.758907292E1,-4.377746582E-2
2.762906806E1,1.369571686E-2
2.766906312E1,-2.222728729E-2
2.770905825E1,-4.137516022E-2
2.774905332E1,3.284263611E-2
2.778904839E1,1.848125458E-2
2.782904349E1,-4.615020752E-2
2.786903859E1,-1.263237000E-2
2.790903369E1,-3.069877625E-3
2.794902882E1,-5.471229553E-3
2.798902395E1,-1.266002655E-2
2.802901902E1,2.086067200E-2
2.806901415E1,-3.421115875E-2
2.810900945E1,-2.701854706E-2
2.814900485E1,4.243755341E-2
2.818900018E1,1.849842072E-2
2.822899555E1,-1.502132416E-2
2.826899082E1,-6.723403931E-4
2.830898608E1,-1.025867462E-2
2.834898142E1,-3.659534454E-2
2.838897668E1,6.518363953E-3
2.842897201E1,-1.741790771E-2
2.846896731E1,-2.699089050E-2
2.850896258E1,-6.528472900E-2
2.854895788E1,4.247188568E-2
2.858895315E1,1.850795746E-2
2.862894848E1,-3.416728973E-2
2.866894375E1,8.939743042E-3
2.870893908E1,4.148483276E-3
2.874893434E1,-4.851150513E-2
2.878892961E1,-1.738166809E-2
2.882892488E1,8.944511414E-3
2.886892014E1,-3.417396545E-2
2.890891541E1,-1.023960114E-2
2.894891071E1,3.287124634E-2
2.898890607E1,1.371860504E-2
2.902890134E1,-2.698421478E-2
2.906889667E1,1.611614227E-2
2.910889194E1,-1.261997223E-2
2.914888720E1,-5.809879303E-2
2.918888254E1,4.177093506E-3
2.922887794E1,-5.414009094E-3
2.926887334E1,-3.894233704E-2
2.930886854E1,-6.437301636E-4
2.934886367E1,1.610851288E-2
2.938885874E1,-1.741218567E-2
2.942885387E1,-1.501464844E-2
2.946884894E1,2.329826355E-2
2.950884400E1,-6.618499756E-4
2.954883907E1,-4.375743866E-2
2.958883417E1,3.526210785E-2
2.962882927E1,-1.743030548E-2
2.966882437E1,-2.461242676E-2
2.970881953E1,8.898735046E-3
2.974881460E1,2.804851532E-2
2.978880970E1,-3.072738647E-3
2.982880477E1,-3.070831299E-3
2.986879980E1,-6.723403931E-4
2.990879486E1,-1.261711121E-2
2.994878993E1,-4.610252380E-2
2.998878506E1,-2.991676331E-3
3.002878013E1,-2.214336395E-2
3.006877530E1,-1.975440979E-2
3.010877040E1,3.532600403E-2
3.014876546E1,4.010391235E-2
3.018876053E1,-5.329513550E-2
3.022875573E1,-2.216625214E-2
3.026875103E1,-3.037452698E-3
3.030874646E1,-3.041267395E-3
3.034874196E1,-3.177261353E-2
3.038873733E1,-1.264953613E-2
3.042876596E1,4.095077515E-3
3.046879459E1,-3.421115875E-2
3.050882323E1,5.439853668E-2
3.054885186E1,5.439662933E-2
3.058888049E1,2.567958832E-2
3.062890913E1,-2.698898315E-2
3.066893779E1,-6.494522095E-4
3.070896652E1,-2.219772339E-2
3.074899519E1,-5.330848694E-2
3.078902382E1,3.528499603E-2
3.082905246E1,1.754760742E-3
3.086908109E1,-5.091857910E-2
3.090910972E1,2.809429169E-2
3.094913836E1,4.724025726E-2
3.098916706E1,-1.740932465E-2
3.102919569E1,-3.038406372E-3
3.106922445E1,8.934020996E-3
3.110925312E1,-1.500129700E-2
3.114928179E1,-5.092144012E-2
3.118931045E1,3.527259827E-2
3.122933909E1,4.161834717E-3
3.126936772E1,-3.175258636E-2
3.130939638E1,4.137039185E-3
3.134942528E1,4.483985901E-2
3.138945425E1,-3.416919708E-2
3.142948308E1,6.545066833E-3
3.146951182E1,4.142761230E-3
3.150954042E1,-5.810546875E-2
3.154956902E1,-2.458190918E-2
3.158959762E1,1.745223999E-3
3.162959295E1,-1.261711121E-2
